DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
2MASS J22443167+2043433    ,,J22443167+2043433  ,22,44,31.7,20,43,43,19,2,L6.5,     ,     ,     ,     ,20.1,16.48,15,14.02,      ,12.78,12.11,11.14,    ,    ,    ,      ,          ,2002,      ,,6.036533205,1.146071638,17.97906523
2MASS J23185497-1301106    ,,J23185497-1301106  ,23,18,55,-13,1,11,19,  ? ,T3  ,     ,     ,     ,     ,     ,15.55,15.24,15.02,      ,15.08,13.68,12.65,    ,    ,    ,      ,          ,     ,      ,,8.110976825,0.035391037,17.18169964
2MASS J11345493+0022541    ,,J11345493+0022541  ,11,34,54.9,0,22,54,19,1.3,M9  ,     ,     ,     ,     ,     ,12.85,     ,11.67,      ,     ,     ,     ,    ,    ,    ,      ,          ,     , UNCON,,6.861156398,0.660654219,17.70559428
2MASS J15104786-2818174    ,,J15104786-2818174  ,15,10,47.9,-28,18,17,19,1.3,M9  ,     ,     ,     ,     ,     ,12.84,     ,11.69,      ,     ,     ,     ,2600,1.66,37,      ,          ,     , UNCON,P,8.687600532,0.68372899,16.88366405
2MASS J1721039+334415 B    ,x,J1721039+334415 B  ,17,21,3.9,33,44,15,19,2,T4  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,5.1,          ,     ,      ,,7.803583683,1.516863009,17.25697564
WISEPC J215751.38+265931.4 ,,                   ,21,57,51.4,26,59,31,18.9,    ,T7  ,     ,     ,     ,     ,     ,17.31,17.45,     ,      ,16.96,14.55,11.93,825,    ,    ,      ,          ,2011,      ,,4.895374793,1.288844624,18.20945318
WISEPA J015010.86+382724.3 ,,                   ,1,50,10.9,38,27,24,18.8,    ,T0  ,     ,     ,     ,     ,     ,16.11,15.02,14.48,      ,13.62,12.98,11.93,    ,    ,    ,      ,          ,2011,      ,,5.599967422,0.662799822,17.93435422
LHS 6176 B                 ,x,                   ,9,50,47.3,1,17,34,18.73,1.23,T8  ,     ,     ,     ,25.91,     ,18.02,18.24,     ,18.69,18.05,14.48,12.85,    ,    ,    ,970,          ,2013,      ,,5.555423201,0.412839257,17.88238622
2MASS J00194579+5213179    ,,J00194579+5213179  ,0,19,45.8,52,13,18,18.7,1.2,M9  ,     ,     ,     ,     ,     ,12.79,12.07,11.62,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003, UNCON,,7.90771993,0.449032879,16.93978556
DENIS-P J0031192?384035    ,,J00311925-3840356  ,0,31,19.3,-38,40,36,18.7,3.4,L2  ,     ,     ,     ,     ,17.62,14.1,13.4,12.92,12.86,12.43,12.03,11.46,    ,    ,    ,      ,          ,2010,      ,,6.949227302,1.225336269,17.31752843
2MASSI J0213288+444445     ,,J02132880+4444453  ,2,13,28.8,44,44,45,18.7,1.4,L1.5,     ,     ,     ,     ,     ,13.49,12.76,12.21,      ,     ,     ,     ,2200,0.51,    ,      ,          ,2003,      ,,8.227850555,1.599332134,16.71629779
HD 4747 b                  ,x,J00492678-2312447  ,0,49,26.8,-23,12,45,18.69,0.19,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,46,9.43,31.7,2002, UNCON,,5.655449847,0.296389567,17.81134864
Kelu-1 Aa                  ,x,J13054019-2541059  ,13,5,40.2,-25,41,6,18.66,0.7,L2  ,21.77,     ,19.1,     ,16.94,13.41,12.39,11.75,11.8,11.25,10.92,10.37,2100,1.2,63,4,          ,1997,      ,,8.784910853,1.588570663,16.3858898
Kelu-1 Ab                  ,x,J13054019-2541059  ,13,5,40.2,-25,41,6,18.66,0.7,T7.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2005,      ,,8.784910853,1.588570663,16.3858898
Kelu-1 B                   ,x,J13054019-2541059  ,13,5,40.2,-25,41,6,18.66,0.7,L4  ,     ,     ,     ,     ,     ,13.41,12.39,11.75,      ,     ,     ,     ,    ,    ,58,5.4,52,1997,      ,,8.784910853,1.588570663,16.3858898
GJ 584 C                   ,x,J15232263+3014562  ,15,23,22.6,30,14,56,18.62,0.43,L8  ,24.4,     ,     ,     ,20.27,16.06,14.93,14.35,14.31,13.56,12.99,11.92,    ,    ,63,3600,          ,2000,      ,,7.605460467,0.46516989,16.98955526
SDSS J090023.68+253934.3   ,,J09002367+2539345  ,9,0,23.7,25,39,35,18.6,3.6,L6  ,     ,     ,     ,21.45,     ,16.43,15.41,14.66,      ,     ,     ,     ,    ,    ,    ,      ,          ,2009,      ,,9.138296282,1.570246489,16.12407725
SDSS J113941.90-031004.1   ,,J11394192-0310039  ,11,39,41.9,-3,10,4,18.6,3.5,L0  ,     ,21.03,19.96,18.61,17.63,14.4,13.71,13.2,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,6.378498572,0.278491262,17.46989406
2MASSW J1658037+702701     ,,J16580380+7027015  ,16,58,3.8,70,27,2,18.6,0.2,L1  ,     ,     ,     ,     ,     ,13.29,12.47,11.92,      ,     ,11.39,     ,2200,    ,    ,      ,          ,1999,      ,,4.931260721,0.583653168,17.92489935
WISEP J230133.32+021635.0  ,,                   ,23,1,33.3,2,16,35,18.6,    ,T6.5,     ,     ,     ,     ,     ,16.36,16.7,17.18,      ,16.3,14.34,12.47,975,    ,    ,      ,          ,2013,      ,,9.168106444,0.641096455,16.17080145
GJ 576 B                   ,x,                   ,15,4,57.9,5,38,3,18.59,0.97,T6.5,     ,25.5,     ,23.84,     ,16.59,17.05,     ,17.41,16.48,14.23,     ,975,    ,    ,1260,          ,2010,      ,,8.821407592,1.476197362,16.29698467
2MASS J15200224-4422419 A  ,x,J15200224-4422419  ,15,20,2.2,-44,22,42,18.52,0.04,L1.5,     ,     ,     ,     ,16.78,13.55,12.73,12.27,      ,     ,     ,     ,    ,    ,86,      ,          ,2003, UNCON,,7.788183642,0.74991679,16.78607221
2MASS J15200224-4422419 B  ,x,J15200224-4422419  ,15,20,2.2,-44,22,42,18.52,0.04,L4.5,     ,     ,     ,     ,     ,14.7,13.7,13.22,      ,     ,     ,     ,    ,    ,81,22,400,2007, UNCON,,7.788183642,0.74991679,16.78607221
HD 65486 B                 ,x,J07580434-2537356  ,7,58,1.6,-25,39,1,18.51,0.38,T4.5,     ,     ,     ,     ,     ,16.12,15.8,15.86,      ,15.92,13.82,     ,1090,    ,38,1630,          ,2012,      ,,4.873088736,0.837349791,17.83737513
2MASS J07075327-4900503    ,,J07075327-4900503  ,7,7,53.3,-49,0,50,18.48,1.54,M9  ,21.09,     ,18.74,     ,16.19,13.23,12.54,12.11,      ,11.83,11.56,11.34,2151,1.03,72,      ,          ,     ,      ,,8.683783646,0,16.31264239
WISEPA J143602.19-181421.8 ,,                   ,14,36,2.2,-18,14,22,18.4,    ,T8  ,     ,     ,     ,     ,     ,17.52,17.62,16.97,      ,16.9,14.65,12.47,675,    ,    ,      ,          ,2011,      ,,6.578927966,0.402384472,17.17893459
SDSS J143808.31+640836.3   ,,J14380829+6408363  ,14,38,8.3,64,8,36,18.4,1.1,M9.5,     ,19.54,18.8,17.19,15.8,12.99,12.16,11.65,      ,     ,     ,     ,    ,    ,    ,      ,          ,2007,      ,,6.429492795,0.224522836,17.23865458
HN Peg B                   ,x,J21442847+1446077  ,21,44,28.5,14,46,8,18.39,0.29,T2.5,     ,     ,     ,     ,     ,15.86,15.55,15.12,15.63,13.29,12.57,11.67,1090,1.1,16,795,          ,2007,      ,,5.831676312,1.186467955,17.40045819
2MASS J07522390+1612157    ,,J07522390+1612157  ,7,52,23.9,16,12,16,18.39,0.34,M7  ,     ,16.13,     ,13.76,     ,10.88,10.2,9.85,      ,9.61,9.45,9.26,2731,2.01,68,      ,          ,     ,      ,,5.3388146,0.279795417,17.59576293
WISEPC J223937.55+161716.2 ,,                   ,22,39,37.6,16,17,16,18.3,    ,T3  ,     ,     ,     ,     ,     ,16.18,15.5,15.36,      ,14.62,13.44,12.11,    ,    ,    ,      ,          ,2011,      ,,6.269684742,0.465918059,17.18615645
DENIS-P J1004403?131818    ,,J10044030-1318186  ,10,4,40.3,-13,18,19,18.25,1.86,L0  ,     ,     ,     ,     ,17.8,14.69,13.88,13.36,13.17,12.77,12.48,12.21,    ,    ,    ,      ,          ,2010,      ,,8.773827967,0.690515236,15.98767123
SDSS J143251.01+363643.6   ,,J14325112+3636440  ,14,32,51,36,36,44,18.2,3.5,L0  ,     ,21.14,     ,18.49,     ,14.3,13.6,13.07,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,6.672039961,1.056747315,16.89991621
HD 130948 B                ,x,J14501581+2354424  ,14,50,16,23,54,42,18.17,0.11,L4  ,     ,     ,     ,     ,     ,13.81,13.04,12.3,12.26,     ,     ,     ,1840,1.09,58,47,          ,2002,      ,,5.293248745,1.27079659,17.33538271
HD 130948 C                ,x,J14501581+2354424  ,14,50,16,23,54,42,18.17,0.11,L4  ,     ,     ,     ,     ,     ,14.12,13.33,12.6,12.46,     ,     ,     ,1790,1.02,56,2.188,9.83,2002,      ,,5.293248745,1.27079659,17.33538271
SDSS J063206.15+830501.1   ,,J06320617+8305014  ,6,32,6.2,83,5,1,18.1,3.5,L0.5,     ,     ,     ,     ,     ,13.75,12.94,12.4,      ,     ,     ,     ,1900,    ,    ,      ,          ,2008,      ,,6.77120028,0.147748116,16.78508318
HD 87883 b                 ,x,                   ,10,8,43,34,14,32,18.1,    ,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,12,3.6,7.54,2009, UNCON,,8.431663225,0.515702615,16.00784514
DENIS-P J1733423-165449    ,,J17334227-1654500  ,17,33,42.3,-16,54,50,18.09,0.02,L0.5,     ,     ,     ,     ,16.92,13.53,12.81,12.35,      ,     ,     ,     ,    ,    ,79,      ,          ,1999,      ,,6.467880475,1.552800718,16.82270585
2MASS J09490860-1545485    ,,J09490860-1545485  ,9,49,8.6,-15,45,49,18.08,2.16,T2  ,     ,     ,     ,     ,     ,16.15,15.26,15.23,      ,14.88,14,12.52,    ,    ,    ,      ,          ,2005,      ,,5.395472762,1.07322626,17.22275991
2MASS J09490860-1545485 B  ,,J09490860-1545485 B,9,49,8.6,-15,45,49,18.08,2.16,T3.5,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,1.8,,          ,     ,      ,-15.7595025,-3.134759951,-8.288411244
2MASS J01092170+2949255    ,,J01092170+2949255  ,1,9,21.7,29,49,26,18,1,M9.5,     ,     ,     ,     ,     ,12.91,12.16,11.68,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,8.165657774,1.772938097,15.94298352
2MASS J05103520-4208140    ,,J05103520-4208140  ,5,10,35.2,-42,8,14,18,2,T5  ,     ,     ,     ,     ,     ,16.22,16.24,16,      ,15.6,13.98,11.86,    ,    ,    ,      ,          ,2000,      ,,8.265539114,0.288638986,15.98741851
SDSS J074149.15+235127.5   ,,J07414920+2351275  ,7,41,49.2,23,51,28,18,2,T5  ,     ,     ,     ,     ,     ,16.16,15.84,15.85,16.22,15.83,14.11,12,    ,    ,    ,      ,          ,2004,      ,,5.873363097,1.329006384,16.96282252
SDSS J075547.87+221215.6   ,,J07554795+2212169  ,7,55,48,22,12,17,18,2,T6  ,     ,     ,     ,     ,     ,15.73,15.67,15.75,      ,15.43,13.5,12.51,    ,    ,    ,      ,          ,2002,      ,,4.969749761,0.260453549,17.29837424
SDSS J085834.42+325627.7   ,,J08583467+3256275  ,8,58,34.7,32,56,28,18,1,T1  ,     ,     ,     ,     ,     ,16.45,15.38,14.76,      ,14.05,13.46,12.26,    ,    ,    ,      ,          ,1999,      ,,4.624919713,1.153121995,17.35743147
WISEP J105047.90+505606.2  ,,                   ,10,50,47.9,50,56,6,18,  ? ,T8  ,     ,     ,     ,     ,     ,17.94,18.31,     ,      ,18.05,14.94,12.95,    ,    ,    ,      ,          ,2013,      ,,5.193869515,1.294977113,17.18565546
SDSS J110401.29+195922.3   ,,J11040127+1959217  ,11,4,1.3,19,59,22,18,2,L4  ,     ,     ,     ,19.35,18.3,14.38,13.48,12.95,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,8.437557811,2.221423585,15.74397966
2MASS J13153094-2649513 A  ,x,J13153094-2649513  ,13,15,30.9,-26,49,51,18,2,L3.5,     ,     ,17.7,     ,     ,15.14,14.14,13.46,13.45,12.73,12.28,11.87,1760,0.84,70,      ,          ,2002,      ,,7.744458445,1.681486758,16.16155827
2MASS J20232858-5946519    ,,J20232858-5946519  ,20,23,28.6,-59,46,52,18,  ? ,T1  ,     ,     ,     ,     ,     ,15.53,14.97,14.49,      ,14.13,13.96,12.91,    ,    ,    ,      ,          ,     ,      ,,7.211059589,1.467106655,16.42705749
2MASS J20360316+1051295    ,,J20360316+1051295  ,20,36,3.2,10,51,30,18,2,L3  ,     ,     ,     ,     ,     ,13.95,13.02,12.45,      ,11.9,11.6,11.04,2100,    ,    ,      ,          ,2000,      ,,6.287751378,1.422772879,16.80594835
2MASS J21015233-2944050    ,,J21015233-2944050  ,21,1,52.3,-29,44,5,18,  ? ,T1  ,     ,     ,     ,     ,     ,15.6,14.85,14.55,      ,14.06,13.79,12.78,    ,    ,    ,      ,          ,     ,      ,,8.709384357,1.692932824,15.6614368
SDSS J212413.89+010000.3   ,,J21241387+0059599  ,21,24,13.9,0,59,60,18,2,T5  ,     ,     ,     ,23.15,     ,16.03,16.18,16.14,16.07,15.61,14.14,12.49,    ,    ,    ,      ,          ,2000,      ,,7.063916476,1.859774003,16.45121043
WISEPC J221354.69+091139.4 ,,                   ,22,13,54.7,9,11,39,18,    ,T7  ,     ,     ,     ,     ,     ,17.13,17.32,16.99,      ,16.64,14.51,12.33,825,    ,    ,      ,          ,2011,      ,,8.028512408,0.385637105,16.10572173
2MASS J23391025+1352284    ,,J23391025+1352284  ,23,39,10.3,13,52,28,18,2,T5  ,     ,     ,     ,23.38,     ,16.24,15.82,16.15,      ,15.14,13.75,12.22,    ,    ,    ,      ,          ,2002,      ,,6.058102965,1.398623273,16.89210589
2MASS J23515044-2537367 B  ,x,J23515044-2537367  ,23,51,50.4,-25,37,37,18,2,L0.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2005,      ,,5.206116329,0.847869885,17.20980736
SDSS J212413.88+010000.2   ,,J21241387+0059599  ,21,24,14,1,0,3,18,2,T5  ,     ,     ,     ,     ,     ,16.03,16.18,16.14,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,7.304514189,0,16.45126355
SDSS J032553.17+042540.1   ,,J03255322+0425406  ,3,25,53.2,4,25,41,17.99,3.53,T5.5,     ,     ,     ,     ,     ,16.25,16.08,16.53,      ,15.89,13.78,12.45,    ,    ,    ,      ,          ,2003,      ,,7.138967936,0.781844146,16.49436136
DENIS-P J0641184-432233    ,,J06411840-4322329  ,6,41,18.4,-43,22,33,17.95,1.84,L1.5,     ,     ,     ,     ,16.97,13.75,12.94,12.45,12.43,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,6.015173152,0.579195298,16.90221065
WISEPA J020625.26+264023.6 ,,                   ,2,6,25.3,26,40,24,17.9,2,L9  ,     ,     ,     ,     ,     ,16.53,15.1,14.52,      ,13.4,12.81,11.6,    ,    ,    ,      ,          ,2011,      ,,8.382865513,1.478125366,15.74651426
HD 46588 B                 ,x,J06462756+7935045  ,6,46,27.6,79,35,5,17.87,0.09,L9  ,     ,     ,     ,     ,     ,16.26,15.08,14.6,      ,13.58,12.93,     ,1360,    ,67,1420,          ,2011,      ,,5.57061196,0.857399186,16.95789047
2MASS J08105865+1420390    ,,J08105865+1420390  ,8,10,58.7,14,20,39,17.8,1.2,M9  ,19.6,     ,     ,     ,     ,12.71,12.05,11.61,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,8.120632185,0.710463257,15.82373454
HD 190406 B                ,x,J20035517+1705040  ,20,3,55.2,17,5,4,17.77,0.11,L4.5,     ,     ,     ,     ,     ,14.39,14.04,13.04,      ,     ,     ,     ,1680,1,69,18.3,73.3,1999,      ,,8.618440162,0.188055033,15.53898402
DENIS-P J0751164-253043    ,,J07511645-2530432  ,7,51,16.5,-25,30,43,17.76,0.03,L2.5,     ,     ,     ,     ,16.5,13.16,12.5,11.99,      ,     ,     ,     ,    ,    ,80,      ,          ,2006,      ,,5.201340499,0.684769467,16.96746144
WISEPC J013836.59-032221.2 ,,                   ,1,38,36.6,-3,22,21,17.7,    ,T3  ,     ,     ,     ,     ,     ,16.36,15.65,15.3,      ,14.43,13.36,11.91,    ,    ,    ,      ,          ,2011,      ,,6.126187172,0.589884732,16.59553755
WISEPA J061135.13-041024.0 ,,                   ,6,11,35.1,-4,10,24,17.7,    ,T0  ,     ,     ,     ,     ,     ,15.49,14.65,14.22,      ,13.55,12.89,12.05,    ,    ,    ,      ,          ,2011,      ,,8.05650081,0.351754422,15.75623888
WISEPC J112254.73+255021.5 ,,                   ,11,22,54.7,25,50,22,17.7,    ,T6  ,     ,     ,     ,     ,     ,16.67,16.64,16.55,      ,16.05,13.97,12.39,975,    ,    ,      ,          ,2011,      ,,7.103474336,1.574802346,16.13538503
SDSS J163359.23-064056.5   ,,J16335933-0640552  ,16,33,59.3,-6,40,55,17.7,3.4,L6  ,     ,     ,     ,     ,     ,16.14,15.17,14.54,      ,     ,     ,     ,    ,    ,    ,      ,          ,2006,      ,,6.389344104,1.126613754,16.4680607
WISE J095608.17-144708.2   ,,                   ,9,56,8.2,-14,47,8,17.7,2.1,L9  ,     ,     ,     ,     ,     ,15.99,15.07,     ,14.46,13.52,12.77,11.14,    ,    ,    ,      ,          ,2015,      ,,4.766614399,0.991457221,17.01723831
HR 7672 B                  ,x,                   ,20,4,6.2,17,4,13,17.7,    ,L4  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,66,14,          ,     ,      ,,8.572843604,0.149639542,15.48463627
WISEPA J052844.51-330823.9 ,,                   ,5,28,44.5,-33,8,24,17.6,    ,T7  ,     ,     ,     ,     ,     ,16.67,16.97,17.12,      ,17.63,14.53,12.46,825,    ,    ,      ,          ,2011,      ,,6.820246509,0.238168256,16.223055
WISE J050650.20+523631.2   ,,                   ,5,6,50.2,52,36,31,17.6,1.6,T4.5,     ,     ,     ,     ,     ,15.44,15.47,     ,15.6,14.94,13.73,12.27,    ,    ,7,      ,          ,2015,      ,,8.23877575,1.304893886,15.49773616
GJ 504 b                   ,x,                   ,13,16,46.5,9,25,27,17.56,0.08,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,43.6,140,     , UNCON,,7.598946994,0.832220046,15.80876385
VVV J172640.2-273803       ,,                   ,17,26,40.2,-27,38,3,17.54,1.23,L5  ,     ,     ,     ,     ,     ,13.27,12.67,12.19,      ,     ,     ,     ,    ,    ,    ,      ,          ,2013,      ,,6.851730858,1.146586518,16.10561156
WISEP J024714.52+372523.5  ,,                   ,2,47,14.5,37,25,24,17.5,    ,T8  ,     ,     ,     ,     ,     ,18.44,18.24,18.37,      ,18.37,14.7,12.58,675,    ,    ,      ,          ,2013,      ,,5.430369298,0.594722162,16.62550435
WISE J173551.56-820900.3   ,,                   ,17,35,51.6,-82,9,0,17.5,3.5,T4.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,P,6.276575308,0.246607315,16.33382341
WISEPA J101905.63+652954.2 ,,                   ,10,19,5.6,65,29,54,17.4,    ,T6  ,     ,     ,     ,     ,     ,16.59,16.52,16.46,      ,16.29,13.94,12.68,975,    ,    ,      ,          ,2011,      ,,7.356596071,0.935877226,15.74054091
DENIS-P J1256569+014616    ,,J12565688+0146163  ,12,56,56.9,1,46,16,17.4,3.1,L2  ,     ,     ,     ,     ,18.2,14.48,13.52,12.79,12.94,12.33,12.04,11.52,    ,    ,    ,      ,          ,2008,      ,,4.631946371,0.94238014,16.74565593
DENIS-P J105847.9-154817   ,,J10584787-1548172  ,10,58,47.9,-15,48,17,17.33,0.3,L3  ,     ,     ,20.1,     ,17.76,14.16,13.23,12.53,12.65,     ,11.76,     ,    ,    ,    ,      ,          ,1997,      ,,4.473109587,0.950788794,16.71574681
SSSPM J0109-5101           ,,J01090150-5100494  ,1,9,1.5,-51,0,49,17.3,1.05,L2  ,     ,     ,     ,     ,     ,12.23,11.54,11.09,      ,10.83,10.57,10.37,2800,1,    ,      ,          ,2002,      ,,8.053461061,0,15.31116472
SDSS J115553.86+055957.5   ,,J11555389+0559577  ,11,55,53.9,5,59,58,17.27,3.04,L7.5,     ,     ,     ,21.28,     ,15.66,14.7,14.12,14.09,13.3,12.85,12.42,    ,    ,    ,      ,          ,2002,      ,,4.610508469,1.21384558,16.59887618
DENIS-P J1753452?655955    ,,J17534518-6559559  ,17,53,45.2,-65,59,56,17.24,1.46,L4  ,     ,     ,     ,     ,17.8,14.1,13.11,12.42,12.42,11.84,11.52,11.13,1800,1,    ,      ,          ,1999,      ,,4.752269505,1.251168146,16.5247727
WISEP J024512.62-345047.8  ,,                   ,2,45,12.6,-34,50,48,17.2,    ,T8  ,     ,     ,     ,     ,     ,17.77,     ,     ,      ,17.92,14.56,12.19,675,    ,    ,      ,          ,2013,      ,,5.383132712,1.19341179,16.29225738
WISEPC J132004.16+603426.2 ,,                   ,13,20,4.2,60,34,26,17.2,    ,T6.5,     ,     ,     ,     ,     ,16.5,16.72,16.4,      ,16.61,14.49,12.42,975,    ,    ,      ,          ,2011,      ,,7.184480766,1.073727845,15.59071341
HD 126053 B                ,x,J14231528+0114294  ,14,23,20.9,1,16,38,17.19,0.16,T8  ,     ,     ,     ,     ,     ,18.71,19.14,     ,19.89,18.01,14.85,12.66,680,0.09,35,2630,140000,2012,      ,,7.019287009,0.490836363,15.68390224
2MASS J12245222-1238352    ,,J12245222-1238352  ,12,24,52.2,-12,38,35,17.1,1.1,M9  ,     ,     ,     ,     ,     ,12.56,11.83,11.37,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,6.801273132,1.138142791,15.64791727
DENIS-P J2322468?313323    ,,J23224684-3133231  ,23,22,46.8,-31,33,23,17.06,1.63,L0  ,     ,     ,     ,     ,16.84,13.58,12.79,12.32,12.29,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,6.94912599,1.007575316,15.54792719
WISEPC J014807.25-720258.7 ,,                   ,1,48,7.3,-72,2,59,17,5,T9.5,     ,     ,     ,     ,     ,18.96,19.22,     ,      ,18.81,14.58,12.86,500,1.04,13,      ,          ,2011,      ,,5.244505361,0.045768105,16.17074732
2MASS J01550354+0950003    ,,J01550354+0950003  ,1,55,3.5,9,50,0,17,3,L5  ,     ,     ,     ,     ,     ,14.83,     ,13.14,      ,     ,     ,     ,    ,    ,    ,      ,          ,1999,      ,,4.640275353,1.028724279,16.32205781
WISEP J033605.05-014350.4  ,,                   ,3,36,5.1,-1,43,50,17,    ,T8  ,     ,     ,     ,     ,     ,19,18.25,     ,      ,17.96,14.54,12.56,675,    ,    ,      ,          ,2013,      ,,5.979555151,1.135254017,15.87312567
