    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2MASS J14082553-5805324    |  |J14082553-5805324  |14 | 8| 25.5 | -58| 5|32|29.40|7.15|L4  |     |     |     |     |19.22|15.46|14.75|14.23|      |     |     |     |    |    |    |      |          | 2012|      |
2MASS J14083421-5307378    |  |J14083421-5307378  |14 | 8| 34.2 | -53| 7|38|19.71|2.40|L5.5|     |     |     |     |19.05|15.16|14.37|13.85|      |     |     |     |    |    |    |      |          | 2012|      |
2MASS J14090310-3357565    |  |J14090310-3357565  |14 | 9|  3.1 | -33|57|57|24.00|2.00|L2  |     |     |     |     |     |14.25|13.42|12.87|      |12.57|12.28|12.00|    |    |    |      |          | 2003|      |
DENIS-P J1411051-791536    |  |J14110473-7915357  |14 |11|  4.7 | -79|15|36|23.50|4.10|M9  |     |     |     |     |16.11|13.23|12.54|     |12.20 |     |     |     |    |    |    |      |          | 2011|      |
2MASS J14112131-2119503    |  |J14112131-2119503  |14 |11| 21.3 | -21|19|50|15.70|1.00|M9  |     |     |     |     |     |12.44|11.83|11.33|11.33 |     |     |     |2600|    |65  |      |          | 2003|      |
2MASS J14115998-4132211 B  | x|J14115998-4132211  |14 |11| 59.9 | -41|32|21| 9.31|0.13|L1  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |75  |  5.9 |       40 |     |      |
DENIS-P J141217.1-043358   |  |J14121709-0433582  |14 |12| 17.1 | -04|33|58|25.70|    |L5  |     |     |     |     |18.78|15.06|14.38|13.90|      |     |     |     |    |    |    |      |          |     | UNCON|
SDSS J141224.49+163311.1   |  |J14122449+1633115  |14 |12| 24.5 | +16|33|12|25.00|2.00|L0.5|     |     |     |     |17.60|13.89|13.15|12.52|      |12.17|11.90|11.43|    |    |    |      |          | 2000|      |
SDSS J141530.05+572428.7   |  |J14153003+5724300  |14 |15| 30.0 | +57|24|30|22.00|7.00|T3  |     |     |     |     |     |16.73|15.82|15.54|15.55 |14.83|13.93|12.39|    |    |    |      |          | 2000|      |
SDSS J141624.08+134826.7 B | x|J14162408+1348263  |14 |16| 23.9 | +13|48|36| 9.10|0.15|T7.5|     |     |     |25.21|     |17.26|17.58|18.93|      |     |     |     | 650|0.62|30  |   75 |          | 2010|      |
SDSS J141624.08+134826.7 A | x|J14162408+1348263  |14 |16| 24.1 | +13|48|26| 9.10|0.15|L6  |     |20.68|     |18.39|     |13.15|12.46|12.11|      |11.36|11.03|     | 825|    |    |      |          | 2010|      |
ULAS J141756.22+133045.8   |  |                   |14 |17| 56.2 | +13|30|46|30.30|2.75|T5.5|     |25.35|     |24.77|     |16.77|17.00|17.00|17.00 |     |     |     |    |    |    |      |          | 2010|      |
SDSS J142058.30+213156.6   |  |                   |14 |20| 58.3 | +21|31|57|29.70|5.70|L1  |     |     |     |19.50|     |15.12|14.52|14.06|      |     |     |     |    |    |    |      |          | 2010|      |
SDSS J142131.13+182739.7   |  |J14213145+1827407  |14 |21| 31.5 | +18|27|41|20.00|1.00|L0  |     |     |     |     |     |13.23|12.43|11.94|      |     |     |     |    |    |    |      |          | 2000|      |
HD 126053 B                | x|J14231528+0114294  |14 |23| 20.9 | +01|16|38|17.19|0.16|T8  |     |     |     |     |     |18.71|19.14|     |19.89 |18.01|14.85|12.66| 680|0.09|35  | 2630 |   140000 | 2012|      |
GD 165 B                   | x|J14243909+0917104  |14 |24| 39.1 | +09|17|10|31.55|2.49|L4  |     |     |     |     |19.16|15.69|14.78|14.17|      |13.21|13.01|12.47|1900|0.86|75  |  120 |          | 1988|      |
DENIS-P J142527.97-365023.4|  |J14252798-3650229  |14 |25| 28.0 | -36|50|23| 9.00|1.00|L5  |     |     |     |     |17.70|13.75|12.58|11.81|11.70 |     |     |     |2000|    |    |      |          | 2003|      |
2MASS J14263161+1557012 A  | x|J14263161+1557012  |14 |26| 31.6 | +15|57| 1|19.10|1.30|M8.5|     |     |     |     |16.50|13.36|12.63|12.20|12.07 |     |     |     |2400|1.37|87  |      |          | 2003| UNCON|
2MASS J14263161+1557012 B  | x|J14263161+1557012  |14 |26| 31.6 | +15|57| 1|19.10|1.30|L1  |     |     |     |     |     |14.13|13.34|12.80|12.64 |     |     |     |2240|1.12|79  |   43 |     1985 | 2003|      |
SDSS J142831.28+592335.3   |  |J14283132+5923354  |14 |28| 31.3 | +59|23|35|22.00|2.00|L4  |     |     |     |19.66|     |14.78|13.88|13.27|      |     |     |     |    |    |    |      |          | 2002|      |
LHS 2924                   |  |J14284323+3310391  |14 |28| 43.2 | +33|10|39|11.11|0.16|L0  |19.74|     |17.80|16.20|14.80|11.99|11.23|10.74|10.72 |     |     |     |    |    |    |      |          | 1984|      |
IRAC J142950.8+333011      |  |                   |14 |29| 50.8 | +33|30|11|32.00|1.00|T4.5|     |     |     |     |22.21|16.88|     |16.99|      |16.54|14.98|12.04|    |    |    |      |          | 2004|      |
2MASSW J1430436+291541 A   | x|J14304358+2915405  |14 |30| 43.6 | +29|15|41|29.40|2.00|L2  |     |     |     |18.76|18.00|14.27|13.44|12.77|      |12.33|12.00|11.20|    |    |80  |      |          | 2003| UNCON|
2MASSW J1430436+291541 B   | x|J14304358+2915405  |14 |30| 43.6 | +29|15|41|29.40|2.00|L3  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |79  |  2.6 |       15 | 2003|      |
SDSS J143130.78+143653.4   |  |J14313097+1436539  |14 |31| 31.0 | +14|36|54|20.00|3.80|L2  |     |     |     |19.71|     |15.15|14.50|14.13|      |13.72|13.36|12.56|    |    |    |      |          | 2009|      |
SDSS J143251.01+363643.6   |  |J14325112+3636440  |14 |32| 51.0 | +36|36|44|18.20|3.50|L0  |     |21.14|     |18.49|     |14.30|13.60|13.07|      |     |     |     |    |    |    |      |          | 2008|      |
SDSS J143435.92+220247.2   |  |J14343616+2202463  |14 |34| 36.2 | +22| 2|46|20.20|3.80|L2.5|     |     |     |     |     |14.52|13.83|13.55|      |13.25|12.88|     |    |    |    |      |          | 2009|      |
WISEPA J143602.19-181421.8 |  |                   |14 |36|  2.2 | -18|14|22|18.40|    |T8  |     |     |     |     |     |17.52|17.62|16.97|      |16.90|14.65|12.47| 675|    |    |      |          | 2011|      |
SDSS J143808.31+640836.3   |  |J14380829+6408363  |14 |38|  8.3 | +64| 8|36|18.40|1.10|M9.5|     |19.54|18.80|17.19|15.80|12.99|12.16|11.65|      |     |     |     |    |    |    |      |          | 2007|      |
2MASS J14392837+1929150    |  |J14392836+1929149  |14 |39| 28.4 | +19|29|15|14.37|0.10|L1  |21.04|     |18.52|     |16.12|12.76|12.04|11.55|      |     |10.94|     |2200|0.98|    |      |          | 1999|      |
G 124-62 Bb                | x|J14413716-0945590  |14 |41| 37.1 | -09|45|59|27.48|2.70|L0.5|     |     |     |     |     |     |     |     |      |     |12.08|     |    |    |36  | 14.3 |      200 | 2005|      |
G 124-62 Ba                | x|J14413716-0945590  |14 |41| 37.2 | -09|45|59|27.48|2.70|L1  |     |     |19.60|     |17.41|14.02|13.19|12.66|      |     |     |     |    |    |36  | 1500 |          | 1999|      |
G 239-25 B                 | x|J14422164+6603208  |14 |42| 21.8 | +66| 3|20|10.80|0.18|L0  |     |     |     |     |     |11.51|10.83|10.33|      |     |     |     |    |    |75  |   30 |          | 2004|      |
SSSPM J1444-2019           |  |J14442067-2019222  |14 |44| 20.7 | -20|19|22|16.22|0.56|M9  |     |     |     |     |     |12.55|12.14|11.93|      |11.47|11.21|     |    |    |    |      |          | 2007|      |
SDSSp J144600.60+002452.0  |  |J14460061+0024519  |14 |46|  0.6 | +00|24|52|22.00|1.57|L6  |     |23.39|     |20.74|     |15.89|14.51|13.94|13.88 |13.25|12.88|11.95|    |    |    |      |          | 2002|      |
DENIS-P J1446229-395231    |  |                   |14 |46| 23.0 | -39|52|31|29.00|5.90|L1  |     |     |     |     |17.67|14.30|     |     |13.07 |     |     |     |    |    |    |      |          | 2011|      |
SDSS J144825.69+103158.8   |  |J14482563+1031590  |14 |48| 25.6 | +10|31|59|22.00|2.00|L3.5|     |     |     |19.63|     |14.56|13.43|12.68|      |     |     |     |    |    |    |      |          | 2002|      |
WISEP J144901.85+114710.9  |  |                   |14 |49|  1.9 | +11|47|11|23.00|  ? |T5.5|     |     |     |     |     |17.36|17.73|16.64|18.10 |17.39|14.84|12.40|    |    |    |      |          | 2010|      |
HD 130948 B                | x|J14501581+2354424  |14 |50| 16.0 | +23|54|42|18.17|0.11|L4  |     |     |     |     |     |13.81|13.04|12.30|12.26 |     |     |     |1840|1.09|58  |   47 |          | 2002|      |
HD 130948 C                | x|J14501581+2354424  |14 |50| 16.0 | +23|54|42|18.17|0.11|L4  |     |     |     |     |     |14.12|13.33|12.60|12.46 |     |     |     |1790|1.02|56  |2.188 |     9.83 | 2002|      |
SDSS J145255.58+272324.4   |  |                   |14 |52| 55.6 | +27|23|24|23.90|4.50|L0  |     |     |     |19.21|     |14.92|14.36|14.08|      |     |     |     |    |    |    |      |          | 2010|      |
DENIS-P J1454078-660447    |  |J14540797-6604476  |14 |54|  8.0 | -66| 4|48|11.00|2.00|L3.5|     |     |     |     |     |13.06|12.17|11.72|      |     |     |     |    |    |    |      |          | 2003|      |
GJ 569 B                   | x|J14542923+1606039  |14 |54| 29.2 | +16| 6| 4| 9.65|0.16|M8.5|18.10|     |     |     |     |11.27|10.67|     |10.16 |     |     |     |2530|0.98|78  |   50 |          | 2000|      |
GJ 569 C                   | x|J14542923+1606039  |14 |54| 29.2 | +16| 6| 4| 9.65|0.16|M9  |     |     |     |     |     |11.78|11.21|     |10.64 |     |     |     |2300|0.95|69  |0.923 |    2.367 | 2000|      |
GJ 570 D                   | x|J14571496-2121477  |14 |57| 15.0 | -21|21|48| 5.84|0.03|T7  |     |     |     |23.08|20.94|15.32|15.27|15.24|      |14.96|12.11|10.69| 800|0.86|44  | 1525 |          | 2000|      |
WISEPC J145715.03+581510.2 |  |                   |14 |57| 15.0 | +58|15|10|16.00|    |T7  |     |     |     |     |     |16.83|16.64|17.32|      |16.54|14.38|12.62| 825|    |    |      |          | 2011|      |
2MASS J14573965+4517167    |  |J14573965+4517167  |14 |57| 39.7 | +45|17|17|21.70|1.40|M9  |     |     |     |     |16.70|13.15|12.41|11.92|      |     |     |     |    |    |    |      |          | 2003|      |
CFBDSIR J145829+101343 A   | x|                   |14 |58| 29.4 | +10|13|42|29.41|2.25|T9  |     |     |     |     |     |19.83|20.18|20.63|20.63 |17.88|15.49|12.42| 575|0.95|22  |      |          | 2010|      |
CFBDSIR J145829+101343 B   | x|                   |14 |58| 29.4 | +10|13|42|29.41|2.25|Y0  |     |     |     |     |     |21.85|22.51|22.83|22.83 |     |     |     | 370|1.00|11  |  2.6 |       29 | 2011|      |
SDSS J150108.17+225001.8   |  |J15010818+2250020  |15 | 1|  8.2 | +22|50| 2|10.59|0.07|M9  |15.09|     |     |     |     |11.87|11.18|     |10.71 |     |     |     |    |    |    |      |          | 2002| UNCON|
SDSS J150319.64+252522.4   |  |J15031961+2525196  |15 | 3| 19.6 | +25|25|20| 6.36|0.09|T6  |     |     |     |     |     |13.94|13.86|13.96|      |13.46|11.69|10.77|1009|    |18  |      |          | 2003|      |
WISE J150406.66-455223.9   |  |                   |15 | 4|  6.7 | -45|52|24|23.00|1.00|L8  |     |     |     |     |     |16.56|15.43|14.83|      |14.15|13.81|12.34|    |    |    |      |          | 2013|      |
SDSS J150411.63+102718.4   |  |A J15041155+102719 |15 | 4| 11.6 | +10|27|20|21.69|0.71|T7  |     |     |     |25.98|     |17.03|16.91|17.02|17.02 |16.30|14.12|12.13| 825|    |    |      |          | 2006|      |
GJ 576 B                   | x|                   |15 | 4| 57.9 | +05|38| 3|18.59|0.97|T6.5|     |25.50|     |23.84|     |16.59|17.05|     |17.41 |16.48|14.23|     | 975|    |    | 1260 |          | 2010|      |
WISEP J150502.39-285345.5  |  |J15050230-2853408  |15 | 5|  2.3 | -28|53|41|21.00|  ? |T1.5|     |     |     |     |     |15.83|15.24|15.06|      |14.02|13.30|11.76|    |    |    |      |          | 2013|      |
PSO J226.2599-28.8959      |  |                   |15 | 5|  2.4 | -28|53|45|21.00|4.00|T1.5|     |     |     |     |     |15.86|15.29|14.90|      |     |     |     |    |    |    |      |          | 2011|      |
WISEPC J150649.97+702736.0 |  |                   |15 | 6| 50.0 | +70|27|36| 5.18|0.70|T6  |     |     |     |     |     |13.56|13.91|14.05|      |13.39|11.28|10.17| 975|    |    |      |          | 2011|      |
2MASS J15065441+1321060    |  |J15065441+1321060  |15 | 6| 54.4 | +13|21| 6|14.10|1.30|L3  |     |     |     |     |17.40|13.37|12.38|11.74|      |     |     |     |2200|0.84|    |      |          | 2000|      |
2MASS J15074769-1627386    |  |J15074769-1627386  |15 | 7| 47.7 | -16|27|39| 7.33|0.03|L5  |22.90|     |19.04|     |16.65|12.83|11.90|11.31|11.40 |     |10.37|     |1703|0.86|68  |      |          | 2000|      |
SDSS J151114.66+060742.9 A | x|J15111466+0607431  |15 |11| 14.7 | +06| 7|43|27.25|4.75|L5.5|     |24.86|     |21.17|     |16.53|15.15|14.63|      |13.68|13.15|12.54|    |    |    |      |          | 1997|      |
SDSS J151114.66+060742.9 B | x|J15111466+0607431  |15 |11| 14.7 | +06| 7|43|27.25|4.75|T5  |     |     |     |     |     |17.08|16.93|17.29|      |     |     |     |    |    |    |      |          |     |      |
WISE J151314.61+401935.6   |  |                   |15 |13| 14.6 | +40|19|36|29.00|2.00|L8  |     |     |     |     |     |17.08|16.15|15.22|      |14.39|13.86|12.68|    |    |    |      |          | 2013|      |
SDSS J151500.62+484744.8   |  |J15150083+4847416  |15 |15|  0.8 | +48|47|42| 6.90|1.30|L6  |     |     |     |19.37|     |14.11|13.10|12.50|      |     |     |     |1600|0.35|    |      |          | 2002|      |
SDSS J151506.11+443648.3   |  |J15150607+4436483  |15 |15|  6.1 | +44|36|48|25.00|1.00|L7.5|     |     |     |     |     |16.58|15.64|14.76|      |13.98|13.47|12.33|    |    |    |      |          | 2002|      |
SDSS J151603.03+025928.9 A | x|J15160303+0259292  |15 |16|  3.0 | +02|59|29|26.00|1.00|L8  |     |     |     |     |     |17.23|16.00|15.43|      |14.65|14.03|     |    |    |    |      |          | 2003|      |
SDSS J151643.01+305344.4   |  |J15164306+3053443  |15 |16| 43.1 | +30|53|44|23.00|3.00|T0.5|     |     |     |     |     |16.85|15.87|15.08|      |14.12|13.32|12.08|    |    |    |      |          | 2006|      |
WISEP J151721.13+052929.3  |  |                   |15 |17| 21.1 | +05|29|29|22.20|    |T8  |     |     |     |     |     |18.54|18.85|     |      |18.10|15.13|13.13| 675|    |    |      |          | 2013|      |
HD 136118 b                | x|                   |15 |18| 55.5 | -01|35|33|46.58|1.17|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |15  | 2.33 |    3.251 | 2002| UNCON|
WISEPC J151906.64+700931.5 |  |                   |15 |19|  6.6 | +70| 9|32|15.60|    |T8  |     |     |     |     |     |17.88|18.28|     |      |17.59|14.06|13.06| 675|    |    |      |          | 2011|      |
2MASS J15200224-4422419 A  | x|J15200224-4422419  |15 |20|  2.2 | -44|22|42|18.52|0.04|L1.5|     |     |     |     |16.78|13.55|12.73|12.27|      |     |     |     |    |    |86  |      |          | 2003| UNCON|
2MASS J15200224-4422419 B  | x|J15200224-4422419  |15 |20|  2.2 | -44|22|42|18.52|0.04|L4.5|     |     |     |     |     |14.70|13.70|13.22|      |     |     |     |    |    |81  |   22 |      400 | 2007| UNCON|
DENIS-P J1520174-175530    |  |J15201746-1755307  |15 |20| 17.5 | -17|55|31|29.70|6.20|L1  |     |     |     |     |17.80|14.64|13.94|     |13.53 |     |     |     |    |    |    |      |          | 2011|      |
SDSS J152039.82+354619.8   |  |J15203974+3546210  |15 |20| 39.8 | +35|46|20|14.00|2.00|T0  |     |     |     |     |     |15.54|14.58|14.02|      |13.44|12.89|11.86|    |    |    |      |          | 2006|      |
SDSS J152103.24+013142.7   |  |J15210327+0131426  |15 |21|  3.2 | +01|31|43|24.21|4.22|T2  |     |     |     |     |     |16.40|15.58|15.35|      |14.92|13.95|12.18|    |    |    |      |          | 2004|      |
WISEP J152305.10+312537.6  |  |                   |15 |23|  5.1 | +31|25|38|25.90|    |T6.5|     |     |     |     |     |18.27|18.69|     |      |17.91|14.39|13.32| 825|    |    |      |          | 2013|      |
2MASS J15230657-2347526    |  |J15230657-2347526  |15 |23|  6.6 | -23|47|53|22.00|2.00|L2.5|     |     |     |     |     |14.20|13.42|12.90|      |     |     |     |    |    |    |      |          | 2002|      |
GJ 584 C                   | x|J15232263+3014562  |15 |23| 22.6 | +30|14|56|18.62|0.43|L8  |24.40|     |     |     |20.27|16.06|14.93|14.35|14.31 |13.56|12.99|11.92|    |    |63  | 3600 |          | 2000|      |
SDSS J152613.92+204339.0   |  |J15261405+2043414  |15 |26| 14.1 | +20|43|41|20.62|3.70|L7  |     |     |     |     |19.10|15.59|14.50|13.92|      |13.15|12.79|12.18|    |    |    |      |          | 2000|      |
2MASS J15302867-8145375    |  |J15302867-8145375  |15 |30| 28.7 | -81|45|38|31.00|  ? |L0  |     |     |     |     |     |14.15|13.60|13.40|      |     |     |     |    |    |    |      |          |     |      |
2MASS J15344984-2952274 B  | x|J15344984-2952274  |15 |34| 49.8 | -29|52|27|13.59|0.22|T6  |     |     |     |     |     |15.44|15.81|15.03|15.70 |     |     |     |1097|0.80|28  | 3.18 |     23.1 | 2002|      |
2MASS J15344984-2952274 A  | x|J15344984-2952274  |15 |34| 50.0 | -29|52|31|13.59|0.22|T5.5|     |     |     |     |     |15.28|15.46|14.84|15.51 |13.94|12.59|11.59|1130|0.80|30  |      |          | 2002|      |
SDSS J153453.33+121949.2   |  |J15345325+1219495  |15 |34| 53.3 | +12|19|50|29.00|1.00|L4  |     |     |     |     |     |15.33|14.30|13.83|      |     |     |     |    |    |    |      |          | 2006|      |
2MASS J15382417-1953116    |  |J15382417-1953116  |15 |38| 24.2 | -19|53|12|21.00|8.00|L6  |     |     |     |     |     |15.93|     |14.00|      |     |     |     |    |    |    |      |          | 2002|      |
2MASS J15392601-6621581    |  |J15392601-6621581  |15 |39| 26.0 | -66|21|58|26.17|3.55|L3  |     |     |     |     |17.79|14.82|14.13|13.66|      |     |     |     |    |    |    |      |          | 2012|      |
DENIS-P J153941.96-052042.4|  |J15394189-0520428  |15 |39| 41.9 | -05|20|43|15.50|0.82|L2  |     |     |     |     |17.50|13.92|13.06|12.58|12.40 |     |     |     |1800|    |    |      |          | 2000|      |
SDSS J154009.36+374230.3   |  |J15400942+3742316  |15 |40|  9.4 | +37|42|32|19.20|3.90|L9  |     |     |     |     |     |16.56|15.35|14.74|      |14.00|13.57|12.11|    |    |    |      |          | 2002|      |
WISEPA J154151.66-225025.2 |  |                   |15 |41| 52.3 | -22|50|25| 5.68|0.29|Y0.5|     |     |     |     |     |21.63|22.09|     |17.93 |16.74|14.25|12.13| 350|1.01|12  |      |          | 2011|      |
WISEP J154214.00+223005.2  |  |                   |15 |42| 14.7 | +22|30| 9|10.42|4.45|T9.5|     |     |     |     |     |19.94|20.52|     |      |18.85|15.04|13.01| 477|0.91|19  |      |          | 2013|      |
2MASS J15423630?0045452    |  |J15423630?0045452  |15 |42| 36.3 | -00|45|45|31.00|  ? |L7  |     |     |     |21.87|     |16.71|15.98|15.41|      |     |     |     |    |    |    |      |          | 2011|      |
WISEP J154352.78-043909.5  |  |                   |15 |43| 52.8 | -04|39|10|22.09|1.21|T4.5|     |     |     |     |22.02|16.45|16.45|16.43|      |15.92|14.35|12.51|    |    |    |      |          | 2012|      |
WISEP J154459.27+584204.5  |  |                   |15 |44| 59.3 | +58|42| 5|23.00|    |T7.5|     |     |     |     |     |18.52|18.34|17.98|      |18.39|15.03|13.42| 825|    |    |      |          | 2013|      |
NLTT 41135 B               | x|                   |15 |46|  4.3 | +04|41|30|22.70|6.80|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |32 0|.0235 |  0.00791 | 2010|      |
2MASS J15461461+4932114    |  |J15461461+4932114  |15 |46| 14.8 | +49|32|14|19.00|    |T2.5|     |     |     |     |     |15.90|15.14|14.90|      |14.49|13.45|12.08|    |    |    |      |          | 2008|      |
2MASS J15462718-3325111    |  |J15462718-3325111  |15 |46| 27.2 | -33|25|11|11.36|0.25|T5.5|     |     |     |     |20.52|15.63|15.45|15.49|      |15.24|13.43|12.31|    |    |    |      |          | 2000|      |
SDSS J154628.38+253634.3   |  |J15462849+2536338  |15 |46| 28.5 | +25|36|34|29.70|5.70|L1  |     |     |     |20.15|     |15.76|15.07|14.71|      |     |     |     |    |    |    |      |          | 2009|      |
DENIS-P J154747.2-242349   |  |J15474719-2423493  |15 |47| 47.2 | -24|23|49|28.00|3.00|L0  |     |     |     |     |     |13.97|13.27|12.74|      |     |     |     |    |    |    |      |          | 2009|      |
SDSS J154849.02+172235.4   |  |J15484912+1722359  |15 |48| 49.1 | +17|22|36|19.70|3.80|L5  |     |     |     |21.34|     |16.10|15.14|14.46|      |     |     |     |    |    |    |      |          | 2000|      |
2MASS J15485834-1636018    |  |J15485834-1636018  |15 |48| 58.3 | -16|36| 2|21.00|3.00|L2  |     |     |     |     |     |13.89|13.10|12.64|      |     |     |     |    |    |    |      |          | 2000|      |
2MASS J15495129-4647478    |  |J15495129-4647478  |15 |49| 51.3 | -46|47|48|27.68|6.60|L4.5|     |     |     |     |19.35|15.54|14.71|14.21|      |     |     |     |    |    |    |      |          | 2012|      |
2MASSW J1551066+645704     |  |J15510662+6457047  |15 |51|  6.6 | +64|57| 5|12.00|    |L3  |     |     |19.20|     |15.30|12.89|12.15|11.72|      |     |     |     |    |    |    |      |          |     | UNCON|
SDSS J155259.02+294848.3   |  |J15525906+2948485  |15 |52| 59.1 | +29|48|49|20.00|1.00|L1  |     |     |     |18.11|     |13.48|12.61|12.02|      |     |     |     |2000|    |    |      |          | 2003|      |
2MASS J15530228+1532369 A  | x|J15530228+1532369  |15 |53|  2.3 | +15|32|37|13.32|0.16|T6.5|     |     |     |     |     |16.41|16.52|15.51|16.07 |15.28|13.02|12.02| 941|    |42  |      |          | 1999|      |
2MASS J15530228+1532369 B  | x|J15530228+1532369  |15 |53|  2.3 | +15|32|37|13.32|0.16|T7  |     |     |     |     |     |16.77|16.90|     |16.50 |     |     |     | 825|    |37  |  4.2 |       44 | 2006|      |
